SJC,-10
ORD,-3
EWR,6
PHX,0
SEA,-5
LAS,-4
DFW,-7
BNA,0
PHX,-7
BOS,-5
LAX,-1
OAK,-2
SEA,1
BOS,-7
LAX,10
DCA,-7
DTW,-7
BNA,-3
PHL,-2
PHX,106
SJU,15
VPS,-3
GUC,7
MIA,38
RIC,-1
DTW,-7
ORF,-5
MOT,-10
STL,-8
BOS,-4
MLU,29
MAF,0
LAX,-5
PDX,-2
JFK,-2
KOA,6
EUG,-7
RNO,-10
PHX,14
CMH,136
HOU,-3
HOU,-2
DTW,0
BOS,-2
DFW,0
MSP,3
SEA,-6
BDL,-8
SJU,76
FLL,0
MOB,-2
SAN,-4
LAS,-6
DCA,-6
SMF,-7
DEN,-2
SFO,1
LGA,-4
LAW,364
BRO,-11
PIB,-8
CHS,8
MEM,6
MGM,-6
SLC,2
OMA,-6
FAR,0
DCA,164
MSN,0
CMH,-5
SBP,-2
COS,-1
OAK,-3
LAR,-4
SAN,-1
BFL,-7
DRO,16
MRY,-5
FAT,-1
MSP,2
DFW,3
BIS,-4
ITO,-1
PBI,12
SAT,29
FLL,-6
BUF,5
SEA,-7
CMH,3
LAS,-2
PVD,11
SAN,0
SAN,-3
SMF,-5
SAN,-2
SAN,-5
SJC,-6
SJC,0
DFW,-6
SAN,-8
LAX,-1
ONT,-7
RDU,-8
ROC,3
MCO,-7
DCA,-1
CAE,1
BTR,0
IAD,-11
SAV,0
GRI,0
PDX,-4
DFW,5
PSP,10
ISN,-3
HLN,0
MCO,16
BOS,-5
BZN,-9
FAT,-2
FSD,4
IAH,-3
EWR,-1
PIT,-3
FLL,-9
MIA,-1
DEN,0
MDW,0
LAX,-1
IAD,-3
LAX,0
CLT,-5
PHL,164
DFW,-7
ATL,0
RDU,-7
SAT,-6
FAI,-11
FLL,-1
RSW,3
MIA,-4
BWI,44
MDT,-6
EWR,-6
SCE,-15
GEG,-7
LEX,0
VPS,0
BWI,-6
SBA,-3
SBP,-8
PNS,-6
COS,-6
CLE,-4
LIH,-7
TWF,-1
SAN,-1
BDL,11
LAX,-5
EWR,0
PHL,0
AUS,28
SFO,76
RNO,-11
SEA,4
SJU,-1
HNL,2
CLT,-7
JFK,-2
SAN,-7
ONT,164
MIA,-6
PBI,-4
EWR,-3
ANC,-8
SAN,-3
SAN,-6
JFK,-3
LGA,-1
JFK,-2
BOS,19
SFO,-2
MSP,-4
AUS,-5
COS,2
DTW,-2
MSY,-6
SEA,1
EWR,-1
TPA,-1
BPT,0
RIC,-1
EWR,0
GPT,-7
TPA,80
RSW,17
DEN,4
CLE,-2
GPT,0
MGM,0
SAN,-10
ACY,-9
STC,-7
BOI,-6
SFO,7
MSP,0
BFL,0
TPA,-2
ORD,-5
HNL,-5
JFK,-8
MKE,-10
MIA,-2
SEA,-8
SAT,-1
PDX,-3
LAS,-7
JAX,13
MSY,0
PIT,-8
COS,-12
SEA,-6
PDX,-7
SEA,-10
PVD,-6
HPN,-11
JFK,21
MLB,-3
PIT,-2
SAN,-3
ABE,-7
SPI,0
PLN,-9
PDX,0
RSW,-6
SJC,-5
CIU,-3
MCO,-3
BWI,-3
EWR,8
AUS,-3
CAK,-4
FLL,-1
MKE,-5
PHX,-7
SJC,0
LAS,-1
ORD,3
DSM,-7
IAH,0
RIC,-4
BLI,-8
PDX,3
SEA,-4
LAX,-1
SEA,-7
SLC,67
BDL,-6
RSW,0
TPA,-6
MCO,-2
SFO,-4
CRP,-2
SHV,16
BTR,-1
MLU,3
PIA,0
ROW,0
FWA,0
CHS,-6
GSO,-3
LGA,108
DTW,-2
DTW,3
PDX,-2
MSN,3
COS,-6
GCC,0
LAX,-8
SNA,8
BUF,33
SFO,-7
DAL,4
LIT,3
MHT,0
ALB,-1
SAT,-3
OKC,-4
SNA,0
DFW,0
LGA,-4
LAS,-4
BNA,-4
MSP,29
SNA,0
MIA,33
JFK,-7
BOS,-3
OMA,-8
PIT,-3
SNA,-4
FLL,-6
SNA,-3
ATL,-1
BHM,-1
BNA,-3
FLL,0
SAN,-3
BHM,-1
HOB,0
LNK,32
DEN,26
LAS,-3
SNA,-7
SGF,0
CMI,-3
COU,0
BWI,4
MCI,-8
GTF,-9
BNA,-8
SNA,12
PHX,16
ATL,-4
EKO,-10
